,Name,ROM(GB),RAM(GB),Ratings,Price
345,SAMSUNG Galaxy A51 (Prism Crush Black),128,8,4.3,22499
346,SAMSUNG Galaxy M02 (Black),32,2,4.1,7899
347,POCO M2 Pro (Out of the Blue),64,6,4.4,13999
348,SAMSUNG Galaxy M02 (Blue),32,3,4,8234
349,SAMSUNG M02s (Blue),64,4,4.2,10199
350,POCO M2 Pro (Out of the Blue),128,6,4.4,15999
351,SAMSUNG Galaxy A12 (Blue),128,4,4.2,13999
352,REDMI 9 Power (Fiery Red),128,4,4.3,11999
353,SAMSUNG Galaxy F02s (Diamond Black),64,4,4.2,9999
354,Nokia 2.4 (Charcoal Grey),64,3,4,9999
355,REDMI 9i (Midnight Black),128,4,4.3,9299
356,realme C3 (Frozen Blue),32,3,4.4,8999
